customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
17867,AW00028866,Aaron Adams,46,40-49,New,28-04-2013,156,1,118,4,4,118,118
9286,AW00020285,Aaron Alexander,44,40-49,New,13-12-2013,148,1,70,1,1,70,70
9076,AW00020075,Aaron Allen,67,50 and above,New,02-12-2011,173,1,3400,1,1,3400,3400
6863,AW00017862,Aaron Baker,49,40-49,New,09-09-2013,152,1,1751,2,2,1751,1751
1068,AW00012067,Aaron Bryant,75,50 and above,New,26-07-2013,153,2,134,5,5,67,44.6667
10415,AW00021414,Aaron Butler,46,40-49,New,26-12-2013,148,1,15,2,2,15,15
10152,AW00021151,Aaron Campbell,52,50 and above,New,10-09-2013,151,1,1155,2,2,1155,1155
16917,AW00027916,Aaron Carter,46,40-49,New,22-12-2013,148,1,40,2,2,40,40
17188,AW00028187,Aaron Chen,55,50 and above,New,13-07-2013,153,1,40,2,2,40,40
5750,AW00016749,Aaron Coleman,46,40-49,New,05-12-2013,149,1,62,3,3,62,62
16664,AW00027663,Aaron Collins,54,50 and above,VIP,16-11-2013,149,2,6047,4,4,3023.5,183.2424
7696,AW00018695,Aaron Diaz,51,50 and above,VIP,25-03-2013,157,2,6029,3,3,3014.5,287.0952
8693,AW00019692,Aaron Edwards,56,50 and above,New,02-06-2013,155,1,94,2,2,94,94
14416,AW00025415,Aaron Evans,50,50 and above,New,11-06-2013,154,1,2433,4,4,2433,2433
3618,AW00014617,Aaron Flores,57,50 and above,Regular,13-07-2013,153,2,1538,5,5,769,59.1538
4567,AW00015566,Aaron Foster,55,50 and above,New,07-12-2013,149,2,4912,10,10,2456,982.4
7805,AW00018804,Aaron Gonzales,43,40-49,New,16-12-2013,148,1,1810,4,4,1810,1810
9124,AW00020123,Aaron Gonzalez,47,40-49,New,10-10-2013,150,1,133,3,3,133,133
13954,AW00024953,Aaron Green,76,50 and above,New,13-06-2013,154,1,27,2,2,27,27
12792,AW00023791,Aaron Griffin,65,50 and above,New,30-06-2013,154,1,72,3,3,72,72
16247,AW00027246,Aaron Hall,47,40-49,New,14-05-2013,155,1,29,1,1,29,29
4569,AW00015568,Aaron Hayes,62,50 and above,Regular,28-09-2013,151,2,3113,3,3,1556.5,259.4167
17763,AW00028762,Aaron Henderson,45,40-49,New,02-01-2014,148,1,27,2,2,27,27
7771,AW00018770,Aaron Hernandez,44,40-49,New,22-08-2013,152,1,94,2,2,94,94
14819,AW00025818,Aaron Hill,46,40-49,New,23-04-2013,156,1,36,3,3,36,36
15695,AW00026694,Aaron Hughes,64,50 and above,Regular,01-09-2013,152,2,4456,5,5,2228,342.7692
12171,AW00023170,Aaron Jai,52,50 and above,New,03-09-2013,152,1,575,2,2,575,575
10241,AW00021240,Aaron Jenkins,41,40-49,New,20-03-2013,157,1,120,2,2,120,120
740,AW00011739,Aaron King,61,50 and above,New,16-04-2013,156,2,4758,6,6,2379,1586
16264,AW00027263,Aaron Kumar,50,50 and above,New,31-10-2012,162,1,2049,1,1,2049,2049
2155,AW00013154,Aaron Lal,41,40-49,New,05-11-2013,150,1,2310,3,3,2310,2310
4430,AW00015429,Aaron Li,41,40-49,Regular,01-08-2013,153,2,3170,6,6,1585,243.8462
16735,AW00027734,Aaron McDonald,43,40-49,New,05-06-2013,155,1,120,2,2,120,120
15333,AW00026332,Aaron Mitchell,48,40-49,New,16-08-2013,152,1,49,2,2,49,49
15609,AW00026608,Aaron Nelson,46,40-49,New,23-06-2013,154,2,2881,5,5,1440.5,261.9091
8114,AW00019113,Aaron Patterson,50,50 and above,New,22-06-2013,154,1,1184,4,4,1184,1184
11166,AW00022165,Aaron Perez,44,40-49,New,18-05-2013,155,1,191,3,3,191,191
